"CODCT";"PROJETO";"Obra";"Tipo Obra";"RDO";"STATUS_RDO";"DATA_VALIDACAO_SALA_TECNICA"
"0004";"14007967";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"14008882";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";30/9/2024 00:00:00
"0004";"14008785";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"14008831";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";4/11/2024 00:00:00
"0004";"14008807";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";27/9/2024 00:00:00
"0004";"14324008";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"14324300";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";9/9/2024 00:00:00
"0004";"14320959";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";9/9/2024 00:00:00
"0004";"14002990";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";10/9/2024 00:00:00
"0004";"14008467";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";4/11/2024 00:00:00
"0004";"14008459";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";18/9/2024 00:00:00
"0004";"14008874";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";23/9/2024 00:00:00
"0004";"14007738";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";23/9/2024 00:00:00
"0004";"14003031";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";27/9/2024 00:00:00
"0004";"14003147";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";19/9/2024 00:00:00
"0004";"14007754";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";28/10/2024 00:00:00
"0004";"14006839";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";20/9/2024 00:00:00
"0004";"14008955";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";23/9/2024 00:00:00
"0004";"14006910";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";30/9/2024 00:00:00
"0004";"14008777";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Cancelado                    ";
"0004";"14007797";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";27/9/2024 00:00:00
"0004";"14323125";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";23/9/2024 00:00:00
"0004";"14323095";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";30/9/2024 00:00:00
"0004";"14008734";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";12/9/2024 00:00:00
"0004";"14002930";"3-INSTALAÇÃO_DE_ACESSO";"Rede de Acesso";"RDO-00000000001";"Aprovado Sala Técnica        ";18/9/2024 00:00:00
