"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart";"Escola Conectada"
"27023761";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023770";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023800";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023834";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27023869";"4.1";"Nordeste II";"AL";"São José da Laje";"Sim";"Sim";"Não";;"Não"
"27055060";"4.1";"Nordeste II";"AL";"Colônia Leopoldina";"Sim";"Sim";"Não";;"Não"
"27054080";"4.1";"Nordeste II";"AL";"Coqueiro Seco";"Sim";"Sim";"Não";;"Não"
"27024903";"4.1";"Nordeste II";"AL";"União dos Palmares";"Sim";"Sim";"Não";;"Não"
"27022820";"4.1";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";;"Não"
"27025004";"4.1";"Nordeste II";"AL";"União dos Palmares";"Sim";"Sim";"Não";;"Não"
"27025136";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Sim"
"27025144";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Sim"
"27025160";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Não"
"27025306";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Não"
"27025322";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Sim"
"27025373";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Sim"
"27022870";"4.1";"Nordeste II";"AL";"Ibateguara";"Sim";"Sim";"Não";;"Não"
"27025578";"4.1";"Nordeste II";"AL";"Viçosa";"Sim";"Sim";"Não";;"Sim"
"27026221";"4.1";"Nordeste II";"AL";"Atalaia";"Sim";"Sim";"Não";;"Não"
"27026230";"4.1";"Nordeste II";"AL";"Atalaia";"Sim";"Sim";"Não";;"Não"
"27026396";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Não"
"27026426";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Não"
"27026442";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Não"
"27026469";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Sim"
"27026477";"4.1";"Nordeste II";"AL";"Branquinha";"Sim";"Sim";"Não";;"Sim"
