"PROJETO";"Fase";"Região";"UF";"Município";"Escopo_RE";"Escopo_RI";"Escopo_GS";"Energia compart"
"27042588";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27042618";"B";"Nordeste II";"AL";"Penedo";"Sim";"Sim";"Não";
"27042626";"B";"Nordeste II";"AL";"Penedo";"Sim";"Sim";"Não";
"27216870";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27042758";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27042774";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27042901";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27043029";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043061";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043134";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043177";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043223";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043312";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043347";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043355";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043371";"B";"Nordeste II";"AL";"Junqueiro";"Sim";"Sim";"Não";
"27043495";"B";"Nordeste II";"AL";"Roteiro";"Sim";"Sim";"Não";
"27043649";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27252000";"B";"Nordeste II";"AL";"Joaquim Gomes";"Sim";"Sim";"Não";
"27029212";"B";"Nordeste II";"AL";"Jundiá";"Sim";"Sim";"Não";
"27044106";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27044130";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27044149";"B";"Nordeste II";"AL";"Jequiá da Praia";"Sim";"Sim";"Não";
"27044335";"B";"Nordeste II";"AL";"Teotônio Vilela";"Sim";"Sim";"Não";
